Unit,Course,Average Grades Before AI for TKT,Avergae Grades After AI for TKT,Improvement%
Unit 3,GCGM,66.6,78.5,17.7
Unit 1,GMBA,69.5,79.5,14.4
Unit 3,MGB,77.6,85.2,9.7
Unit 1,GMBA,67.0,79.2,18.1
Unit 1,MGB,77.5,89.6,15.6
Unit 1,GCGM,71.3,91.2,27.8
Unit 4,GMBA,70.1,86.4,23.3
Unit 2,GCGM,66.1,82.1,24.3
Unit 8,MGB,74.7,94.5,26.6
Unit 5,GMBA,69.7,80.2,15.0
Unit 1,MGB,66.0,76.0,15.2
Unit 8,GCGM,65.4,78.2,19.6
Unit 1,GCGM,79.6,97.4,22.4
Unit 3,MGB,70.0,78.6,12.4
Unit 7,MGB,64.1,70.5,9.9
Unit 7,GMBA,62.2,71.3,14.7
Unit 8,GMBA,63.5,82.2,29.4
Unit 6,MGB,67.8,79.1,16.6
Unit 5,MGB,63.8,77.5,21.5
Unit 6,GMBA,62.5,79.4,27.1
Unit 6,MGB,62.2,67.3,8.2
Unit 3,MGB,73.6,86.5,17.5
Unit 5,GMBA,71.2,78.6,10.5
Unit 8,MGB,61.3,70.7,15.4
Unit 8,GCGM,64.3,81.7,27.0
Unit 2,GCGM,69.8,74.8,7.3
Unit 6,GMBA,76.7,82.4,7.5
Unit 3,MGB,77.6,94.4,21.6
Unit 3,GCGM,74.3,81.4,9.6
Unit 4,MGB,71.7,77.9,8.7
Unit 4,GCGM,69.5,79.8,14.9
Unit 7,MGB,68.0,86.5,27.3
Unit 5,MGB,71.9,79.5,10.6
Unit 7,GMBA,77.5,94.6,22.0
Unit 3,GMBA,75.4,84.1,11.6
Unit 7,GMBA,64.0,73.6,15.0
Unit 5,GMBA,78.5,90.5,15.2
Unit 3,MGB,75.6,93.2,23.1
Unit 2,GCGM,70.5,85.9,21.9
Unit 6,MGB,67.1,79.1,17.9
Unit 7,MGB,60.6,73.9,22.1
Unit 7,GCGM,75.1,89.3,18.9
Unit 5,GCGM,71.6,82.2,14.8
Unit 5,GCGM,75.1,86.0,14.5
Unit 7,GMBA,60.1,77.2,28.5
Unit 8,GCGM,61.7,70.7,14.7
Unit 2,MGB,71.9,89.2,24.1
Unit 8,GMBA,66.6,72.5,8.9
Unit 1,GMBA,64.1,71.3,11.2
Unit 8,GCGM,64.5,79.6,23.5
Unit 3,MGB,72.6,88.4,21.8
Unit 1,MGB,72.5,80.5,11.1
Unit 2,GCGM,63.1,81.3,28.9
Unit 2,GCGM,64.1,76.2,18.9
Unit 8,MGB,61.1,67.9,11.2
Unit 7,MGB,79.7,97.0,21.7
Unit 5,GMBA,73.6,91.5,24.3
Unit 2,MGB,62.9,68.2,8.5
Unit 3,GMBA,73.1,80.7,10.3
Unit 4,MGB,69.6,79.0,13.4
Unit 2,GMBA,69.9,84.9,21.5
Unit 7,MGB,74.0,80.6,8.9
Unit 7,MGB,63.0,72.2,14.7
Unit 2,GMBA,67.8,81.5,20.2
Unit 1,GMBA,73.0,87.9,20.4
Unit 8,GCGM,78.2,88.5,13.2
Unit 3,MGB,77.6,89.5,15.3
Unit 1,GCGM,67.2,85.0,26.6
Unit 4,MGB,78.1,90.9,16.5
Unit 2,GCGM,73.1,83.4,14.1
Unit 6,MGB,74.3,91.1,22.6
Unit 5,GMBA,66.1,77.0,16.5
Unit 8,MGB,79.3,93.3,17.8
Unit 3,GMBA,74.2,86.8,17.0
Unit 5,GCGM,74.0,87.8,18.7
Unit 6,GMBA,72.3,83.4,15.3
Unit 1,GCGM,77.0,84.4,9.6
Unit 2,GMBA,62.1,81.1,30.6
Unit 8,MGB,75.2,94.9,26.2
Unit 4,GCGM,78.0,85.6,9.8
Unit 7,MGB,78.4,84.4,7.6
Unit 5,GCGM,60.7,77.0,26.7
Unit 8,MGB,72.1,89.7,24.4
Unit 3,MGB,62.2,73.9,18.9
Unit 3,GMBA,71.5,79.5,11.2
Unit 5,MGB,68.8,78.0,13.5
Unit 4,GMBA,63.2,80.4,27.2
Unit 4,GCGM,71.6,86.1,20.2
Unit 2,GCGM,60.7,67.8,11.7
Unit 1,MGB,75.5,89.0,17.9
Unit 2,MGB,63.7,79.7,25.0
Unit 8,GCGM,76.6,90.2,17.7
Unit 8,GMBA,67.0,81.3,21.3
Unit 3,GCGM,68.8,83.2,20.9
Unit 2,GMBA,61.6,78.3,27.2
Unit 5,GCGM,62.4,70.8,13.6
Unit 6,GCGM,64.5,83.6,29.6
Unit 5,MGB,74.1,80.1,8.1
Unit 3,MGB,61.5,75.1,22.2
Unit 5,MGB,72.4,85.6,18.2
